siteName,siteCode,Date,PM2.5,PM10,NO2,NH3,SO2,Ozone,AQI
Ashok Vihar,1420,2018-02-08,236.96,405.79,109.97,31.45,11.2,33.42,519
Ashok Vihar,1420,2018-02-09,250.46,423.21,79.4,33.55,13.24,39.28,533
Ashok Vihar,1420,2018-02-10,269.71,498.88,183.86,22.66,7.16,44.46,591
Ashok Vihar,1420,2018-02-11,146.42,315.46,41.84,36.72,8.38,42.96,450
Ashok Vihar,1420,2018-02-12,82.08,199.92,23.24,34.8,4.43,37.89,361
Ashok Vihar,1420,2018-02-13,140.83,223.67,35.81,42.94,6.75,42.24,379
Ashok Vihar,1420,2018-02-14,93.0,189.38,27.93,29.37,7.75,31.47,353
Ashok Vihar,1420,2018-02-15,113.46,210.12,30.23,32.93,10.0,32.98,369
Ashok Vihar,1420,2018-02-16,157.04,265.29,39.65,36.1,11.02,34.4,411
Ashok Vihar,1420,2018-02-17,177.21,315.96,37.27,36.0,10.69,31.54,450
Ashok Vihar,1420,2018-02-18,178.42,309.33,60.42,33.15,8.93,41.65,445
Ashok Vihar,1420,2018-02-19,247.54,422.12,103.44,29.74,12.69,43.41,532
Ashok Vihar,1420,2018-02-20,214.58,413.04,81.21,34.34,11.48,46.3,525
Ashok Vihar,1420,2018-02-21,221.25,460.75,112.9,33.07,8.75,53.87,562
Ashok Vihar,1420,2018-02-22,194.42,404.04,53.93,46.41,10.11,43.94,518
Ashok Vihar,1420,2018-02-23,199.05,421.78,54.6,51.13,9.4,42.0,532
Ashok Vihar,1420,2018-02-24,151.32,392.52,42.43,24.9,3.39,10.52,509
Ashok Vihar,1420,2018-02-25,103.71,238.26,40.96,23.68,5.21,7.43,390
Ashok Vihar,1420,2018-02-26,75.54,190.42,34.41,35.89,8.05,35.11,354
Ashok Vihar,1420,2018-02-27,110.32,217.02,39.99,34.59,10.9,37.12,374
Ashok Vihar,1420,2018-02-28,178.64,345.41,70.61,38.01,10.8,46.47,473
Ashok Vihar,1420,2018-03-01,150.44,310.76,44.21,30.78,7.75,39.64,446
Ashok Vihar,1420,2018-03-02,180.5,305.17,36.17,33.34,5.59,51.15,442
Ashok Vihar,1420,2018-03-03,126.5,276.04,28.88,36.4,5.44,41.28,420
Ashok Vihar,1420,2018-03-04,91.58,213.88,28.99,46.28,9.92,39.74,372
Ashok Vihar,1420,2018-03-05,90.74,189.57,33.61,43.82,9.91,41.45,353
Ashok Vihar,1420,2018-03-06,103.28,212.47,31.45,18.15,4.81,21.92,371
Ashok Vihar,1420,2018-03-07,105.96,215.42,46.11,35.79,10.48,43.38,373
Ashok Vihar,1420,2018-03-08,194.88,406.38,109.65,33.21,8.0,42.95,520
Ashok Vihar,1420,2018-03-09,170.17,346.58,57.09,44.29,14.48,48.84,474
Ashok Vihar,1420,2018-03-10,96.23,223.31,34.58,39.49,11.83,38.07,379
Ashok Vihar,1420,2018-03-11,106.63,220.45,40.18,40.98,13.99,45.03,377
Ashok Vihar,1420,2018-03-12,130.38,282.92,38.31,44.36,13.11,49.15,425
Ashok Vihar,1420,2018-03-13,147.48,352.14,64.65,38.69,10.25,54.52,478
Ashok Vihar,1420,2018-03-14,118.22,402.2,66.14,36.88,6.66,49.19,517
Ashok Vihar,1420,2018-03-15,136.0,441.29,47.92,46.32,7.09,40.35,547
Ashok Vihar,1420,2018-03-16,130.21,335.88,28.05,42.95,10.53,44.27,466
Ashok Vihar,1420,2018-03-17,119.52,268.96,26.67,43.12,11.47,38.12,414
Ashok Vihar,1420,2018-03-18,69.79,201.21,22.09,25.99,7.04,85.43,362
Ashok Vihar,1420,2018-03-19,90.21,261.88,27.59,40.2,9.01,55.03,409
Ashok Vihar,1420,2018-03-20,132.12,338.42,36.68,34.68,6.22,53.44,468
Ashok Vihar,1420,2018-03-21,149.62,348.11,20.81,53.33,11.73,66.77,475
Ashok Vihar,1420,2018-03-22,87.33,211.95,16.14,42.42,6.63,60.5,370
Ashok Vihar,1420,2018-03-23,73.6,181.34,28.49,30.76,9.74,45.79,347
Ashok Vihar,1420,2018-03-24,98.9,240.07,28.16,32.81,12.26,47.17,392
Ashok Vihar,1420,2018-03-25,94.0,246.54,24.78,34.96,12.11,47.29,397
Ashok Vihar,1420,2018-03-26,107.79,271.71,27.71,34.27,15.4,48.21,416
Ashok Vihar,1420,2018-03-27,130.58,336.5,28.65,32.51,7.86,52.03,466
Ashok Vihar,1420,2018-03-28,132.25,371.08,92.45,20.24,6.5,34.02,493
Ashok Vihar,1420,2018-03-29,107.33,267.5,23.68,35.2,13.57,51.86,413
Ashok Vihar,1420,2018-03-30,126.15,314.81,16.57,36.76,6.41,56.78,449
Ashok Vihar,1420,2018-03-31,66.852,185.694,13.498,20.804,3.624,45.104,350
Ashok Vihar,1420,2018-04-01,105.14,311.43,19.23,36.67,5.64,67.97,447
Ashok Vihar,1420,2018-04-02,113.54,303.33,25.27,32.82,4.73,73.5,441
Ashok Vihar,1420,2018-04-03,115.58,313.71,22.99,34.53,7.75,84.05,449
Ashok Vihar,1420,2018-04-04,140.71,350.54,27.5,46.09,8.34,74.81,477
Ashok Vihar,1420,2018-04-05,218.17,449.75,33.81,45.67,13.79,30.84,553
Ashok Vihar,1420,2018-04-06,102.73,244.37,21.07,41.98,9.04,59.82,395
Ashok Vihar,1420,2018-04-07,52.9,160.91,20.47,46.95,6.48,78.98,331
Ashok Vihar,1420,2018-04-08,50.47,165.96,18.9,40.5,4.01,88.11,335
Ashok Vihar,1420,2018-04-09,54.62,157.25,26.68,42.39,0.71,53.35,328
Ashok Vihar,1420,2018-04-10,103.46,331.25,27.34,54.89,3.64,76.27,462
Ashok Vihar,1420,2018-04-11,51.21,151.46,20.21,32.6,5.81,60.46,324
Ashok Vihar,1420,2018-04-12,50.04,129.92,24.88,31.73,7.11,64.83,307
Ashok Vihar,1420,2018-04-13,83.62,208.0,54.53,37.22,10.13,51.32,367
Ashok Vihar,1420,2018-04-14,97.29,252.33,45.26,40.91,16.13,55.66,401
Ashok Vihar,1420,2018-04-15,125.5,326.58,73.05,38.36,12.46,69.93,458
Ashok Vihar,1420,2018-04-16,130.42,404.67,48.78,51.15,13.15,66.05,518
Ashok Vihar,1420,2018-04-17,76.67,293.79,39.05,35.7,9.78,37.44,433
Ashok Vihar,1420,2018-04-18,75.86,317.46,28.28,35.44,9.71,46.12,451
Ashok Vihar,1420,2018-04-19,101.65,347.57,32.25,32.74,6.44,48.92,475
Ashok Vihar,1420,2018-04-20,96.0,447.55,22.24,30.33,8.13,49.28,551
Ashok Vihar,1420,2018-04-21,101.33,574.29,22.94,31.8,10.6,48.24,649
Ashok Vihar,1420,2018-04-22,84.83,281.92,28.7,28.14,17.93,51.7,424
Ashok Vihar,1420,2018-04-23,103.15,281.04,33.74,25.09,14.43,55.63,423
Ashok Vihar,1420,2018-04-24,155.67,354.08,50.05,28.63,13.63,59.1,480
Ashok Vihar,1420,2018-04-25,126.29,389.0,84.6,27.95,6.91,51.75,506
Ashok Vihar,1420,2018-04-26,146.12,509.92,63.33,27.02,6.74,55.47,599
Ashok Vihar,1420,2018-04-27,112.39,425.12,29.64,9.41,1.71,95.75,534
Ashok Vihar,1420,2018-04-28,89.18,409.79,20.25,22.86,2.85,90.17,522
Ashok Vihar,1420,2018-04-29,95.58,314.31,29.26,50.28,9.08,67.2,449
Ashok Vihar,1420,2018-04-30,81.13,249.14,29.54,42.27,6.16,63.35,399
Ashok Vihar,1420,2018-05-01,55.29,205.86,14.72,41.98,4.38,90.88,366
Ashok Vihar,1420,2018-05-02,62.46,181.23,15.92,23.66,1.95,83.19,347
Ashok Vihar,1420,2018-05-03,49.93,185.2,14.68,27.48,4.33,66.27,350
Ashok Vihar,1420,2018-05-04,52.17,142.16,16.83,29.55,5.72,83.43,317
Ashok Vihar,1420,2018-05-05,87.51,237.92,30.88,32.89,6.98,61.14,390
Ashok Vihar,1420,2018-05-06,125.6,348.46,40.33,28.98,8.46,67.22,475
Ashok Vihar,1420,2018-05-07,129.9,357.33,28.25,31.66,10.49,60.58,482
Ashok Vihar,1420,2018-05-08,51.95,177.01,17.62,13.3,2.3,69.61,343
Ashok Vihar,1420,2018-05-09,86.2,193.92,28.04,38.77,2.37,59.38,356
Ashok Vihar,1420,2018-05-10,115.56,260.58,41.29,60.59,5.67,71.47,408
Ashok Vihar,1420,2018-05-11,167.42,378.74,41.43,49.69,2.31,71.31,499
Ashok Vihar,1420,2018-05-12,159.43,386.92,35.14,61.93,1.76,64.89,505
Ashok Vihar,1420,2018-05-13,80.64,268.82,14.41,41.68,1.16,81.16,414
Ashok Vihar,1420,2018-05-14,54.88,159.17,18.66,37.78,1.78,84.85,330
Ashok Vihar,1420,2018-05-15,78.86,206.18,19.13,38.19,2.52,95.07,366
Ashok Vihar,1420,2018-05-16,81.3,234.54,26.41,32.78,5.04,68.76,388
Ashok Vihar,1420,2018-05-17,114.58,338.48,27.55,32.96,7.87,75.91,468
Ashok Vihar,1420,2018-05-18,111.08,294.58,27.2,34.31,8.46,65.81,434
Ashok Vihar,1420,2018-05-19,118.54,340.67,44.03,41.32,7.51,75.91,469
Ashok Vihar,1420,2018-05-20,100.75,290.46,27.53,27.7,8.25,63.47,431
Ashok Vihar,1420,2018-05-21,71.75,261.02,24.66,25.15,7.33,69.06,408
Ashok Vihar,1420,2018-05-22,104.23,312.07,62.86,24.21,9.11,67.3,447
Ashok Vihar,1420,2018-05-23,151.04,418.82,60.03,40.28,9.68,57.21,529
Ashok Vihar,1420,2018-05-24,118.58,332.73,39.71,32.95,12.33,59.72,463
Ashok Vihar,1420,2018-05-25,109.97,326.06,59.61,36.48,13.11,15.22,458
Ashok Vihar,1420,2018-05-26,112.45,316.1,131.17,26.59,7.38,76.58,450
Ashok Vihar,1420,2018-05-27,93.09,370.47,61.22,32.67,6.54,54.54,492
Ashok Vihar,1420,2018-05-28,139.94,360.63,49.22,40.3,10.21,78.13,485
Ashok Vihar,1420,2018-05-29,107.36,361.7,51.86,35.92,5.56,61.47,485
Ashok Vihar,1420,2018-05-30,60.57,357.93,16.42,20.71,2.7,62.73,483
Ashok Vihar,1420,2018-05-31,70.71,270.54,22.5,33.33,6.06,57.07,415
Ashok Vihar,1420,2018-06-01,88.13,258.24,18.82,16.14,3.46,70.01,406
Ashok Vihar,1420,2018-06-02,48.09,157.05,15.34,22.64,6.06,71.43,328
Ashok Vihar,1420,2018-06-03,57.1,152.82,14.63,23.56,4.73,75.64,325
Ashok Vihar,1420,2018-06-04,57.73,199.04,15.16,14.71,3.26,66.21,360
Ashok Vihar,1420,2018-06-05,50.08,162.54,16.44,15.02,2.72,52.74,332
Ashok Vihar,1420,2018-06-06,55.09,167.78,22.75,31.38,3.54,30.51,336
Ashok Vihar,1420,2018-06-07,74.29,181.02,18.41,37.29,5.43,56.02,346
Ashok Vihar,1420,2018-06-08,71.92,217.87,17.86,25.78,3.7,30.06,375
Ashok Vihar,1420,2018-06-09,53.13,164.32,19.98,16.41,1.91,22.24,334
Ashok Vihar,1420,2018-06-10,66.1,162.78,26.35,44.05,3.92,36.09,332
Ashok Vihar,1420,2018-06-11,72.37,252.79,26.08,59.68,6.84,31.01,402
Ashok Vihar,1420,2018-06-12,138.72,499.67,20.93,36.73,5.54,19.32,592
Ashok Vihar,1420,2018-06-13,252.97,925.8,14.94,16.33,2.97,12.75,919
Ashok Vihar,1420,2018-06-14,192.13,934.6,17.79,10.5,1.73,19.76,926
Ashok Vihar,1420,2018-06-15,134.37,607.1,20.53,10.26,2.59,21.31,674
Ashok Vihar,1420,2018-06-16,126.58,670.25,15.48,16.45,3.34,25.53,723
Ashok Vihar,1420,2018-06-17,76.83,299.71,16.76,10.27,2.34,31.83,438
Ashok Vihar,1420,2018-06-18,62.38,171.92,18.91,22.04,5.62,33.38,339
Ashok Vihar,1420,2018-06-19,50.67,166.46,18.08,18.89,3.82,46.17,335
Ashok Vihar,1420,2018-06-20,83.51,216.84,18.81,22.95,4.68,59.45,374
Ashok Vihar,1420,2018-06-21,81.46,371.04,19.34,27.14,5.11,66.58,493
Ashok Vihar,1420,2018-06-22,97.33,327.67,38.94,38.11,8.46,73.57,459
Ashok Vihar,1420,2018-06-23,79.0,312.08,26.3,34.91,6.92,82.57,447
Ashok Vihar,1420,2018-06-24,59.25,208.57,25.97,22.96,7.51,66.12,368
Ashok Vihar,1420,2018-06-25,40.58,198.64,30.9,22.82,7.57,22.31,360
Ashok Vihar,1420,2018-06-26,17.21,65.96,24.81,29.52,13.5,37.97,119
Ashok Vihar,1420,2018-06-27,54.79,105.14,18.02,41.26,10.53,66.8,250
Ashok Vihar,1420,2018-06-28,27.03,51.04,11.14,40.58,5.31,45.93,85
Ashok Vihar,1420,2018-06-29,36.57,79.23,19.41,32.15,7.69,49.83,164
Ashok Vihar,1420,2018-06-30,34.98,99.12,35.78,33.97,6.6,35.7,230
Ashok Vihar,1420,2018-07-01,23.5,92.19,27.32,35.25,3.97,33.48,207
Ashok Vihar,1420,2018-07-02,21.67,133.44,21.55,27.96,5.25,44.75,310
Ashok Vihar,1420,2018-07-03,35.6,109.39,37.45,30.3,5.14,54.5,264
Ashok Vihar,1420,2018-07-04,37.5,104.8,45.05,35.44,6.81,68.08,249
Ashok Vihar,1420,2018-07-05,43.06,142.17,85.61,37.4,8.9,57.83,317
Ashok Vihar,1420,2018-07-06,49.33,181.33,66.91,47.28,7.14,60.96,347
Ashok Vihar,1420,2018-07-07,58.92,175.5,42.1,53.81,7.07,80.85,342
Ashok Vihar,1420,2018-07-08,61.27,175.5,34.47,57.71,7.98,107.83,342
Ashok Vihar,1420,2018-07-09,65.62,167.58,27.26,55.67,10.21,73.91,336
Ashok Vihar,1420,2018-07-10,42.28,111.5,23.65,51.94,7.66,62.79,271
Ashok Vihar,1420,2018-07-11,37.98,102.56,27.91,40.14,9.15,48.81,241
Ashok Vihar,1420,2018-07-12,51.46,150.6,31.78,34.03,6.08,58.27,323
Ashok Vihar,1420,2018-07-13,31.19,61.15,30.43,33.09,7.06,28.44,103
Ashok Vihar,1420,2018-07-14,34.28,70.88,28.89,31.83,8.41,28.26,136
Ashok Vihar,1420,2018-07-15,41.58,86.17,32.79,29.35,19.75,34.66,187
Ashok Vihar,1420,2018-07-16,35.27,74.31,39.18,30.44,15.71,19.16,147
Ashok Vihar,1420,2018-07-17,28.11,86.95,32.16,35.09,17.67,41.12,189
Ashok Vihar,1420,2018-07-18,34.65,93.69,25.74,34.28,19.49,40.7,212
Ashok Vihar,1420,2018-07-19,27.94,77.67,26.91,29.3,20.6,39.05,158
Ashok Vihar,1420,2018-07-20,35.76,85.47,37.35,29.27,15.82,20.92,184
Ashok Vihar,1420,2018-07-21,41.43,88.65,40.57,31.48,20.75,35.41,195
Ashok Vihar,1420,2018-07-22,21.22,43.73,29.4,27.41,15.02,26.87,72
Ashok Vihar,1420,2018-07-23,24.44,63.08,25.7,26.04,17.43,31.5,110
Ashok Vihar,1420,2018-07-24,37.81,104.98,25.05,26.66,18.37,42.05,249
Ashok Vihar,1420,2018-07-25,30.08,82.21,16.43,24.89,14.14,17.77,174
Ashok Vihar,1420,2018-07-26,20.5,42.62,17.32,26.66,15.11,11.88,71
Ashok Vihar,1420,2018-07-27,15.19,27.29,12.75,21.78,15.92,13.8,67
Ashok Vihar,1420,2018-07-28,31.65,68.62,13.76,19.38,16.29,21.27,128
Ashok Vihar,1420,2018-07-29,58.71,148.21,10.15,22.86,15.09,21.99,321
Ashok Vihar,1420,2018-07-30,56.6,151.31,6.85,25.99,15.26,29.94,324
Ashok Vihar,1420,2018-07-31,70.83,194.0,8.51,23.55,16.73,23.98,356
Ashok Vihar,1420,2018-08-01,87.94,253.04,6.06,23.09,16.73,29.99,402
Ashok Vihar,1420,2018-08-02,107.15,328.29,15.71,21.17,17.53,25.67,460
Ashok Vihar,1420,2018-08-03,92.65,308.21,20.62,20.8,15.35,24.76,444
Ashok Vihar,1420,2018-08-04,93.64,318.48,18.08,19.63,15.4,29.34,452
Ashok Vihar,1420,2018-08-05,84.19,277.61,11.45,18.77,16.13,20.68,421
Ashok Vihar,1420,2018-08-06,44.05,129.89,11.72,30.09,15.52,15.9,307
Ashok Vihar,1420,2018-08-07,43.3,118.58,17.14,22.93,19.83,29.74,295
Ashok Vihar,1420,2018-08-08,31.71,83.4,19.43,24.78,16.93,29.61,178
Ashok Vihar,1420,2018-08-09,28.06,84.27,17.71,26.53,18.94,36.84,180
Ashok Vihar,1420,2018-08-10,36.62,115.62,23.52,24.2,16.12,34.73,285
Ashok Vihar,1420,2018-08-11,33.77,113.58,13.36,26.7,16.26,25.92,278
Ashok Vihar,1420,2018-08-12,26.5,92.42,12.92,20.08,15.54,23.52,208
Ashok Vihar,1420,2018-08-13,28.1,91.65,11.96,20.67,15.9,29.4,205
Ashok Vihar,1420,2018-08-14,37.37,124.85,16.68,24.39,14.99,33.65,303
Ashok Vihar,1420,2018-08-15,36.62,120.0,11.94,24.37,17.16,41.76,300
Ashok Vihar,1420,2018-08-16,35.85,89.85,11.39,23.49,17.38,43.45,199
Ashok Vihar,1420,2018-08-17,22.19,62.64,8.13,27.89,14.78,24.86,108
Ashok Vihar,1420,2018-08-18,29.17,72.12,8.06,24.27,18.46,31.11,140
Ashok Vihar,1420,2018-08-19,52.74,109.31,11.85,25.14,19.11,17.62,264
Ashok Vihar,1420,2018-08-20,61.38,126.76,26.46,29.54,18.92,37.41,305
Ashok Vihar,1420,2018-08-21,28.79,87.88,43.77,23.06,22.69,34.43,192
Ashok Vihar,1420,2018-08-22,23.08,63.75,40.6,23.1,17.55,21.8,112
Ashok Vihar,1420,2018-08-23,20.93,64.78,31.86,24.5,15.37,10.05,115
Ashok Vihar,1420,2018-08-24,17.96,93.79,27.88,20.13,15.25,17.72,212
Ashok Vihar,1420,2018-08-25,18.71,96.88,22.2,18.13,15.29,21.4,222
Ashok Vihar,1420,2018-08-26,17.08,79.08,18.55,16.87,14.81,28.99,163
Ashok Vihar,1420,2018-08-27,14.06,41.25,14.16,16.79,14.27,27.16,68
Ashok Vihar,1420,2018-08-28,23.5,49.29,14.01,17.49,16.56,23.1,82
Ashok Vihar,1420,2018-08-29,29.77,65.21,14.07,17.25,16.8,22.01,117
Ashok Vihar,1420,2018-08-30,36.71,95.31,13.66,19.11,14.26,35.13,217
Ashok Vihar,1420,2018-08-31,38.53,159.36,6.39,21.29,12.7,18.61,330
Ashok Vihar,1420,2018-09-01,37.27,103.29,2.83,23.53,14.03,8.06,244
Ashok Vihar,1420,2018-09-02,35.38,69.6,1.76,23.91,13.9,19.28,131
Ashok Vihar,1420,2018-09-03,38.31,64.88,1.81,19.63,14.91,28.19,116
Ashok Vihar,1420,2018-09-04,62.39,118.71,1.12,19.89,15.42,35.75,295
Ashok Vihar,1420,2018-09-05,35.92,108.71,0.86,22.09,13.76,21.38,262
Ashok Vihar,1420,2018-09-06,35.27,124.54,1.21,19.98,14.8,25.36,303
Ashok Vihar,1420,2018-09-07,28.77,74.6,1.5,19.4,14.63,27.88,148
Ashok Vihar,1420,2018-09-08,25.57,61.01,3.21,20.45,16.24,21.19,103
Ashok Vihar,1420,2018-09-09,18.21,48.46,10.91,17.06,13.67,39.06,80
Ashok Vihar,1420,2018-09-10,33.67,77.23,10.74,17.39,16.42,48.49,157
Ashok Vihar,1420,2018-09-11,19.5,66.77,13.66,15.19,13.66,27.23,122
Ashok Vihar,1420,2018-09-12,21.76,102.44,18.63,15.0,13.29,23.71,241
Ashok Vihar,1420,2018-09-13,19.29,121.52,17.57,13.54,14.9,25.36,301
Ashok Vihar,1420,2018-09-14,24.79,121.88,18.19,12.57,15.52,26.05,301
Ashok Vihar,1420,2018-09-15,31.08,121.88,22.03,13.85,16.84,26.91,301
Ashok Vihar,1420,2018-09-16,42.75,140.22,23.71,15.12,19.32,27.94,315
Ashok Vihar,1420,2018-09-17,62.49,173.61,24.0,17.34,18.56,40.02,341
Ashok Vihar,1420,2018-09-18,64.82,187.83,59.54,16.73,20.56,45.07,352
Ashok Vihar,1420,2018-09-19,64.3,189.92,52.57,19.96,19.02,50.65,353
Ashok Vihar,1420,2018-09-20,57.62,194.15,16.22,26.95,18.83,65.56,357
Ashok Vihar,1420,2018-09-21,34.0,105.46,18.51,27.18,16.27,22.61,251
Ashok Vihar,1420,2018-09-22,16.12,44.27,26.37,20.98,17.41,21.54,73
Ashok Vihar,1420,2018-09-23,18.77,56.69,23.67,20.18,17.05,29.64,94
Ashok Vihar,1420,2018-09-24,12.42,32.85,30.42,18.37,14.16,15.86,67
Ashok Vihar,1420,2018-09-25,17.0,54.08,43.8,17.0,14.9,14.41,90
Ashok Vihar,1420,2018-09-26,30.63,94.0,49.84,16.48,15.29,28.22,213
Ashok Vihar,1420,2018-09-27,67.27,181.42,56.1,21.15,16.19,37.72,347
Ashok Vihar,1420,2018-09-28,81.79,233.38,65.93,25.77,17.01,38.98,387
Ashok Vihar,1420,2018-09-29,76.04,219.29,67.4,29.69,18.97,47.3,376
Ashok Vihar,1420,2018-09-30,53.27,140.35,63.59,24.53,20.3,36.29,315
Ashok Vihar,1420,2018-10-01,62.06,183.29,65.9,22.44,21.14,44.86,348
Ashok Vihar,1420,2018-10-02,70.23,191.33,57.76,25.93,17.44,40.45,354
Ashok Vihar,1420,2018-10-03,69.0,207.71,67.26,24.85,18.14,49.42,367
Ashok Vihar,1420,2018-10-04,94.06,239.48,74.37,31.89,21.43,34.4,391
Ashok Vihar,1420,2018-10-05,116.52,260.52,74.11,35.12,24.1,53.44,408
Ashok Vihar,1420,2018-10-06,72.57,180.0,75.0,26.46,22.9,35.77,346
Ashok Vihar,1420,2018-10-07,65.55,244.5,71.74,25.72,28.0,55.71,395
Ashok Vihar,1420,2018-10-08,72.93,293.49,75.49,31.38,23.48,56.32,433
Ashok Vihar,1420,2018-10-09,58.52,273.48,77.67,35.03,33.61,72.44,418
Ashok Vihar,1420,2018-10-10,61.94,261.34,65.1,36.51,30.26,59.19,408
Ashok Vihar,1420,2018-10-11,37.06,215.02,47.12,29.71,18.39,41.57,373
Ashok Vihar,1420,2018-10-12,58.11,190.06,54.38,22.35,21.93,50.06,353
Ashok Vihar,1420,2018-10-13,167.44,292.81,84.22,34.46,34.35,42.1,432
Ashok Vihar,1420,2018-10-14,101.96,222.35,89.17,27.3,32.37,44.22,378
Ashok Vihar,1420,2018-10-15,115.55,298.56,81.6,30.91,21.36,51.24,437
Ashok Vihar,1420,2018-10-16,64.68,343.05,98.13,41.07,24.2,67.97,471
Ashok Vihar,1420,2018-10-17,58.64,336.44,81.05,40.75,20.9,49.55,466
Ashok Vihar,1420,2018-10-18,57.53,343.02,91.08,48.19,22.34,52.3,471
Ashok Vihar,1420,2018-10-19,52.32,321.98,73.03,41.11,22.79,51.31,455
Ashok Vihar,1420,2018-10-20,53.1,312.86,74.73,35.59,27.16,54.9,448
Ashok Vihar,1420,2018-10-21,48.31,272.23,84.07,37.62,31.61,45.42,417
Ashok Vihar,1420,2018-10-22,49.56,274.86,95.14,34.56,27.23,42.83,419
Ashok Vihar,1420,2018-10-23,48.24,302.26,92.83,34.38,23.65,61.17,440
Ashok Vihar,1420,2018-10-24,69.31,349.52,113.25,45.68,25.27,68.0,476
Ashok Vihar,1420,2018-10-25,56.6,341.49,84.8,44.21,28.26,89.34,470
Ashok Vihar,1420,2018-10-26,66.65,391.1,86.81,50.79,27.73,58.63,508
Ashok Vihar,1420,2018-10-27,72.48,402.33,94.39,55.61,26.02,63.0,517
Ashok Vihar,1420,2018-10-28,69.12,379.52,86.17,50.27,24.55,48.14,499
Ashok Vihar,1420,2018-10-29,150.86,530.33,100.21,54.06,23.31,44.56,615
Ashok Vihar,1420,2018-10-30,294.69,495.29,86.43,50.5,19.76,50.24,588
Ashok Vihar,1420,2018-10-31,258.58,444.19,94.06,55.71,20.64,43.21,549
Ashok Vihar,1420,2018-11-01,314.88,519.33,90.62,64.48,22.09,41.06,607
Ashok Vihar,1420,2018-11-02,235.31,406.17,67.72,48.01,19.52,40.44,520
Ashok Vihar,1420,2018-11-03,176.06,327.71,40.28,45.01,15.86,42.71,459
Ashok Vihar,1420,2018-11-04,121.95,208.08,30.61,34.7,15.19,64.03,367
Ashok Vihar,1420,2018-11-05,460.49,607.32,47.17,48.38,16.4,30.34,674
Ashok Vihar,1420,2018-11-06,215.76,411.42,64.47,27.08,23.18,39.33,524
Ashok Vihar,1420,2018-11-07,210.2,379.66,41.21,26.91,18.96,54.71,499
Ashok Vihar,1420,2018-11-08,349.88,546.73,11.54,40.86,36.46,42.51,628
Ashok Vihar,1420,2018-11-09,392.19,562.53,37.33,50.64,21.4,12.36,640
Ashok Vihar,1420,2018-11-10,353.93,502.39,63.75,53.88,15.54,20.35,594
Ashok Vihar,1420,2018-11-11,332.45,502.26,38.33,52.56,11.26,46.4,594
Ashok Vihar,1420,2018-11-12,354.08,538.75,31.46,59.31,11.53,35.38,622
Ashok Vihar,1420,2018-11-13,336.9,487.56,54.46,63.01,15.09,22.79,582
Ashok Vihar,1420,2018-11-14,172.52,250.33,58.83,53.51,12.23,29.99,400
Ashok Vihar,1420,2018-11-15,126.12,189.38,55.8,45.06,14.96,27.52,353
Ashok Vihar,1420,2018-11-16,155.92,244.96,53.41,29.85,16.75,37.55,396
Ashok Vihar,1420,2018-11-17,174.27,289.83,58.54,29.72,16.91,36.93,430
Ashok Vihar,1420,2018-11-18,215.42,337.96,65.51,38.3,13.39,45.47,467
Ashok Vihar,1420,2018-11-19,223.79,339.9,54.78,42.71,18.91,64.1,469
Ashok Vihar,1420,2018-11-20,271.48,387.38,68.65,48.13,19.7,41.47,505
Ashok Vihar,1420,2018-11-21,228.31,343.08,55.79,35.11,16.11,34.47,471
Ashok Vihar,1420,2018-11-22,175.91,357.15,62.13,32.36,16.16,40.39,482
Ashok Vihar,1420,2018-11-23,230.68,386.39,65.2,35.05,24.07,32.64,504
Ashok Vihar,1420,2018-11-24,118.15,259.34,53.26,26.83,24.99,31.85,407
Ashok Vihar,1420,2018-11-25,164.92,301.72,60.88,30.78,28.85,33.21,439
Ashok Vihar,1420,2018-11-26,254.45,417.33,66.73,40.29,29.57,32.04,528
Ashok Vihar,1420,2018-11-27,251.98,378.66,64.32,47.39,18.88,30.31,498
Ashok Vihar,1420,2018-11-28,247.4,358.17,32.23,52.09,12.98,22.36,483
Ashok Vihar,1420,2018-11-29,259.17,375.24,4.69,49.68,9.66,23.91,496
Ashok Vihar,1420,2018-11-30,227.52,340.67,4.03,38.04,18.24,36.84,469
Ashok Vihar,1420,2018-12-01,201.67,317.33,4.59,32.83,14.67,40.38,451
Ashok Vihar,1420,2018-12-02,224.29,347.0,5.16,38.67,14.56,50.63,474
Ashok Vihar,1420,2018-12-03,251.19,383.9,9.6,45.49,15.69,49.88,503
Ashok Vihar,1420,2018-12-04,282.85,401.35,18.25,50.63,11.31,41.04,516
Ashok Vihar,1420,2018-12-05,232.31,342.92,21.95,43.66,12.29,36.25,471
Ashok Vihar,1420,2018-12-06,276.02,360.04,26.19,46.41,14.55,34.32,484
Ashok Vihar,1420,2018-12-07,238.5,318.21,25.26,40.19,14.1,30.25,452
Ashok Vihar,1420,2018-12-08,256.31,336.43,24.09,39.71,15.56,33.71,466
Ashok Vihar,1420,2018-12-09,256.65,323.77,25.9,41.81,17.52,44.7,456
Ashok Vihar,1420,2018-12-10,343.38,415.79,25.99,47.56,18.61,73.83,527
Ashok Vihar,1420,2018-12-11,362.81,453.15,26.41,48.38,14.01,61.04,556
Ashok Vihar,1420,2018-12-12,298.6,360.71,43.83,46.66,14.99,34.05,485
Ashok Vihar,1420,2018-12-13,98.88,141.02,47.38,33.36,14.88,28.62,316
Ashok Vihar,1420,2018-12-14,141.5,201.24,52.67,30.98,17.54,31.02,362
